review,rating,support
"""TikTok is not your ordinary destination for short-form mobile video. It's raw, real, and without boundaries"" I LOVE THIS APP BUT THIS STATEMENT IS A ABSOLUTE LIE. THEY ALLOW 10 YEAR OLDS ON THIS APP AND WANT TO SHADOWBAN ANYONE MAKING GOOD CONTENT BC THE CHILDREN IN THIS GROWN UP WORLD DON'T LIKE I...Full Review""TikTok is not your ordinary destination for short-form mobile video. It's raw, real, and without boundaries"" I LOVE THIS APP BUT THIS STATEMENT IS A ABSOLUTE LIE. THEY ALLOW 10 YEAR OLDS ON THIS APP AND WANT TO SHADOWBAN ANYONE MAKING GOOD CONTENT BC THE CHILDREN IN THIS GROWN UP WORLD DON'T LIKE IT. FIX THIS TIKTOK!!!!",4,103
I love TikTok but the only problem is that everytime i go onto TikTok i have to sign in? It logs me out everytime. Also Iphone owners have better things than us. It would be nice if they were the same. Please sort this problem out.,3,108
I love this it is the best because I have seen that people put it on Facebook and Twitter so and I just think about doing the same so I just wanted to make people think that I am cool . I'm just a person who likes to be cool but tik tok is better it is fun and I love it . that is why I did download ...Full ReviewI love this it is the best because I have seen that people put it on Facebook and Twitter so and I just think about doing the same so I just wanted to make people think that I am cool . I'm just a person who likes to be cool but tik tok is better it is fun and I love it . that is why I did download this app I don't have a lot to say but I will keep going to 500 right now I am at 392 I will keep going I mean who would not want to download tik tok I am almost done I just want to thank.,5,197
i love this app and all the amazing people I've met on it. I'm sad that I still haven't got the new notification update for my account. I've updated the app 4 times in the last 2 weeks. I have seen a lot of great updates. thank you tiktok,4,46
I love Tik Tok I have to say it's my favorite game ever but since it's my favorite game ever I play on it all the time like when I go to a friend's house and we're supposed to play with each other bit we don't were both on Tik Tok posting on are accounts and when were having family time I'm on Tik T...Full ReviewI love Tik Tok I have to say it's my favorite game ever but since it's my favorite game ever I play on it all the time like when I go to a friend's house and we're supposed to play with each other bit we don't were both on Tik Tok posting on are accounts and when were having family time I'm on Tik Tok and not even spending time with my own family so I have decided to stop going on Tik Tok so I can enjoy my life with my family and friends and this was a super duper hard decision to make but I did,5,182
"My Dear Tiktok I love you... But I want an option of ""share off"" in u just like download can be off.. I do not feel secure when people share my videos.. U know that anyone can share n misuse it.. So I'm genuinely requesting u to make an option of "" sharing off "" in privacy setting.. Plzzz think abou...Full ReviewMy Dear Tiktok I love you... But I want an option of ""share off"" in u just like download can be off.. I do not feel secure when people share my videos.. U know that anyone can share n misuse it.. So I'm genuinely requesting u to make an option of "" sharing off "" in privacy setting.. Plzzz think about it..",5,128
"ok first off this app is so cringey and second, if you want to join and make a video right away with your preffered audio this is not the app for you. Also, if you want to watch something that you actually prefer, this is also not the right app for you. If I could give this a 0 star rating I would.",1,13
"Now, the content is fine, but the algorithms, the reporting system, and what is deemed a banable offense are all so narrow or so broken, that any one user can ruin someone elses account. All it takes is one report and a live goes down, most peoples videos dont get seen because the for you page is fi...Full ReviewNow, the content is fine, but the algorithms, the reporting system, and what is deemed a banable offense are all so narrow or so broken, that any one user can ruin someone elses account. All it takes is one report and a live goes down, most peoples videos dont get seen because the for you page is filled with garbage and only the 'popular' content creators. These guys need to loosen up or theyre gonna fail worse than Fallout 76 on launch day.",2,88
"Ok, so if i am going to be honest, i loved musical.ly. i loved being able to express yourself, and have fun. but when they changed it to ""tiktok"" i was extreamly dissapointed. it felt like i had grew up with musical.ly, and it hurts when something has been taken away from you. now, i dont see any li...Full ReviewOk, so if i am going to be honest, i loved musical.ly. i loved being able to express yourself, and have fun. but when they changed it to ""tiktok"" i was extreamly dissapointed. it felt like i had grew up with musical.ly, and it hurts when something has been taken away from you. now, i dont see any lipsyncing, any comedy skits, i just see ""i wanna be tracer"" and ""hit or miss"". i just want musical.ly back. this is just my opinion, but i know that a lot of other people feel the same way about this.",2,85
"I love tiktok but I had a suggestion. I was wondering if tiktok can do this. If only we could move our own favroite videos to the top like tap them and move them to the top , be able to move them around.",5,181
